Timestamp,ObstacleType,X,Y,Z
2026-03-02 13:49:43,Stairs,0.2430438,1.41,-5.438073
2026-03-02 13:49:45,Stairs,-1.953094,1.409306,-5.44572
2026-03-02 13:49:47,Stairs,-3.446584,1.41,-5.53
2026-03-02 13:49:49,Stairs,-0.3940704,1.409971,-5.338928
2026-03-02 13:49:51,Stairs,-0.3231708,1.41,-5.271332
2026-03-02 13:49:53,Stairs,-0.1961284,1.41,-4.71
2026-03-02 13:50:08,Stairs,-3.801782,1.408869,-5.83269
2026-03-02 13:50:10,Stairs,-0.4332041,1.41,-5.366603
2026-03-02 13:50:15,Stairs,-0.1579129,1.41,-4.71
2026-03-02 13:50:34,Stairs,-3.868023,1.268645,-6.910509
2026-03-02 13:51:19,Stairs,0.2428749,1.41,-5.576361
2026-03-02 13:51:21,Stairs,0.1052356,1.41,-5.535874
2026-03-02 13:51:23,Stairs,-2.789945,1.409966,-5.515824
2026-03-02 13:51:42,Stairs,0.389935,1.41,-5.105876
